CustomerKey,CustomerName,Gender,Age,City,Governorate,Country,CustomerSegment
1,  Aya Mansour,F,25,cairo,Cairo,Egypt,Small Business
2,Ghada Farouk,female,50,SUEZ,Suez,Egypt,Small Business 
3,Sara Nasser,Female,49,suez,Suez,Egypt,Corporate
4,Karim Mostafa,Male,46,Jeddah,Makkah,Saudi Arabia,Consumer
5,Joseph Zaki,Male,24,dubai,Dubai,United Arab Emirates,Small Business
6,Youssef Ramadan,male,29,Ismailia,Ismailia,Egypt,Consumer
7,Reem Shalaby,F,35,alexandria,Alexandria,Egypt,Consumer
8,Joseph Young,male,29,TANTA,Gharbia,Egypt,Consumer
9,EMILY FAHMY,Female,48,ASSIUT,Assiut,Egypt,Corporate
10,William Nasser,Male,39,alexandria,Alexandria,Egypt,Consumer
11,Andrew Martin,Male,48,zagazig,Sharqia,Egypt,Small Business
12,Ahmed Saad,male,31,Jeddah,Makkah,Saudi Arabia,Corporate
13,Sophia Thomas,F,37,Riyadh,Riyadh,Saudi Arabia,Small Business
14,OLIVIA JACKSON,F,30,kuwait city,Al Asimah,Kuwait,Consumer
15,Hossam Mahmoud,male,26,Cairo,Cairo,Egypt,Consumer
16,  Daniel Thomas,Male,18,Suez,Suez,Egypt,Consumer
17,James Martin  ,male,31,Cairo,Cairo,Egypt,Corporate
18,Latifa Youssef,F,44,6th of October,Giza,Egypt,Small Business
19,Daniel Khaled,Male,34,cairo,Cairo,Egypt,Consumer
20,Nasser Ibrahim,male,36,dubai,Dubai,United Arab Emirates,Consumer
21,Robert El Sayed,male,24,Cairo,Cairo,Egypt,Consumer
22,Amr Al Ghamdi,M,62,Cairo,Cairo,Egypt,Consumer
23,Ava Youssef,Female,52,DOHA,Doha,Qatar,Corporate
24,Nour Al Otaibi,F,19,Abu Dhabi,Abu Dhabi,United Arab Emirates, VIP
25,Rana Nasser,Female,25,Dammam,Eastern Province,Saudi Arabia,Consumer
26,Youssef Youssef,Male,25,Riyadh,Riyadh,Saudi Arabia,Consumer
27,Reem Al Ghamdi,F,54,GIZA,Giza,Egypt,Consumer
